algorithm,array_type,size,avg_time_ms,avg_comparisons
String Mergesort,reverse sorted,1400,7.4436,7044
MSD Radixsort,reverse sorted,1400,3.306,0
MSD Radixsort (with switch),reverse sorted,1400,2.508,10514
Standard Quicksort,almost sorted,1400,36.4364,898325
Standard Mergesort,almost sorted,1400,6.8038,7742
String Quicksort,almost sorted,1400,1.9988,36560
String Mergesort,almost sorted,1400,7.0004,8292
MSD Radixsort,almost sorted,1400,2.9982,0
MSD Radixsort (with switch),almost sorted,1400,2.1014,21982
Standard Quicksort,random,1500,2.1056,16041
Standard Mergesort,random,1500,7.801,13931
String Quicksort,random,1500,1.7986,19250
String Mergesort,random,1500,7.7044,13898
MSD Radixsort,random,1500,3.1982,0
MSD Radixsort (with switch),random,1500,2.1996,8112
Standard Quicksort,reverse sorted,1500,39.153,1.12425e+006
Standard Mergesort,reverse sorted,1500,9.042,7664
String Quicksort,reverse sorted,1500,2.5024,23653
String Mergesort,reverse sorted,1500,9.3976,7664
MSD Radixsort,reverse sorted,1500,4.399,0
MSD Radixsort (with switch),reverse sorted,1500,1.8998,11252
Standard Quicksort,almost sorted,1500,40.9532,1.02875e+006
Standard Mergesort,almost sorted,1500,7.2022,8332
String Quicksort,almost sorted,1500,2.3996,41766
String Mergesort,almost sorted,1500,7.238,9205
MSD Radixsort,almost sorted,1500,3.1982,0
MSD Radixsort (with switch),almost sorted,1500,2.2002,23385
Standard Quicksort,random,1600,1.8034,18582
Standard Mergesort,random,1600,8.101,14988
String Quicksort,random,1600,2.103,21952
String Mergesort,random,1600,7.904,14955
MSD Radixsort,random,1600,3.2184,0
MSD Radixsort (with switch),random,1600,2.5984,8839
Standard Quicksort,reverse sorted,1600,45.2124,1.2792e+006
Standard Mergesort,reverse sorted,1600,8.2026,8256
String Quicksort,reverse sorted,1600,2.198,24747
String Mergesort,reverse sorted,1600,7.7038,8256
MSD Radixsort,reverse sorted,1600,3.2026,0
MSD Radixsort (with switch),reverse sorted,1600,2.5942,12032
Standard Quicksort,almost sorted,1600,51.7406,1.16971e+006
Standard Mergesort,almost sorted,1600,8.0044,8943
String Quicksort,almost sorted,1600,2.4004,45700
String Mergesort,almost sorted,1600,8.0092,9783
MSD Radixsort,almost sorted,1600,3.0026,0
MSD Radixsort (with switch),almost sorted,1600,2.8008,24731
Standard Quicksort,random,1700,2.3998,23096
Standard Mergesort,random,1700,11.789,16154
String Quicksort,random,1700,2.461,25023
String Mergesort,random,1700,9.7762,16115
MSD Radixsort,random,1700,3.603,0
MSD Radixsort (with switch),random,1700,2.6036,9620
Standard Quicksort,reverse sorted,1700,51.7432,1.44415e+006
Standard Mergesort,reverse sorted,1700,8.6038,8836
String Quicksort,reverse sorted,1700,2.1976,28979
String Mergesort,reverse sorted,1700,8.2022,8836
MSD Radixsort,reverse sorted,1700,3.8024,0
MSD Radixsort (with switch),reverse sorted,1700,2.9998,12844
Standard Quicksort,almost sorted,1700,52.4752,1.3198e+006
Standard Mergesort,almost sorted,1700,9.4064,9584
String Quicksort,almost sorted,1700,3.1016,49835
String Mergesort,almost sorted,1700,10.813,10667
MSD Radixsort,almost sorted,1700,4.0026,0
MSD Radixsort (with switch),almost sorted,1700,2.7012,26438
Standard Quicksort,random,1800,1.8008,20092
Standard Mergesort,random,1800,9.4074,17189
String Quicksort,random,1800,2.6018,23586
String Mergesort,random,1800,9.4036,17146
MSD Radixsort,random,1800,3.9982,0
MSD Radixsort (with switch),random,1800,2.2024,10179
Standard Quicksort,reverse sorted,1800,57.4386,1.6191e+006
Standard Mergesort,reverse sorted,1800,8.8064,9508
String Quicksort,reverse sorted,1800,2.9964,31802
String Mergesort,reverse sorted,1800,9.2018,9508
MSD Radixsort,reverse sorted,1800,3.8066,0
MSD Radixsort (with switch),reverse sorted,1800,2.7988,13585
Standard Quicksort,almost sorted,1800,59.8638,1.48427e+006
Standard Mergesort,almost sorted,1800,8.8018,10113
String Quicksort,almost sorted,1800,3.2018,55872
String Mergesort,almost sorted,1800,9.914,11145
MSD Radixsort,almost sorted,1800,4.3024,0
MSD Radixsort (with switch),almost sorted,1800,2.9012,27997
Standard Quicksort,random,1900,2.399,22666
Standard Mergesort,random,1900,10.0026,18305
String Quicksort,random,1900,2.3952,29417
String Mergesort,random,1900,10.6084,18268
MSD Radixsort,random,1900,5.2148,0
MSD Radixsort (with switch),random,1900,2.916,10972
Standard Quicksort,reverse sorted,1900,64.2772,1.80405e+006
Standard Mergesort,reverse sorted,1900,9.6024,10144
String Quicksort,reverse sorted,1900,2.6,30797
String Mergesort,reverse sorted,1900,10.005,10144
MSD Radixsort,reverse sorted,1900,4.5998,0
